interface,name,entity_type,arguments,idl_type,syntactic_form,use_counter,secure_context,high_entropy,source_file,source_line
ANGLEInstancedArrays,,interface,,,,,,,third_party/blink/renderer/modules/webgl/angle_instanced_arrays.idl,36
ANGLEInstancedArrays,VERTEX_ATTRIB_ARRAY_DIVISOR_ANGLE,constant,,UnsignedLong,,,,,third_party/blink/renderer/modules/webgl/angle_instanced_arrays.idl,37
ANGLEInstancedArrays,drawArraysInstancedANGLE,operation,"(UnsignedLong,Long,Long,Long)",Void,,,,,third_party/blink/renderer/modules/webgl/angle_instanced_arrays.idl,
ANGLEInstancedArrays,drawElementsInstancedANGLE,operation,"(UnsignedLong,Long,UnsignedLong,LongLong,Long)",Void,,,,,third_party/blink/renderer/modules/webgl/angle_instanced_arrays.idl,
ANGLEInstancedArrays,vertexAttribDivisorANGLE,operation,"(UnsignedLong,Long)",Void,,,,,third_party/blink/renderer/modules/webgl/angle_instanced_arrays.idl,
AbortController,,interface,,,,,,,third_party/blink/renderer/core/dom/abort_controller.idl,9
AbortController,abort,operation,(),Void,,,,,third_party/blink/renderer/core/dom/abort_controller.idl,
AbortController,signal,attribute,,AbortSignal,,,,,third_party/blink/renderer/core/dom/abort_controller.idl,
AbortPaymentEvent,,interface,,,,,,,third_party/blink/renderer/modules/payments/abort_payment_event.idl,10
AbortPaymentEvent,isTrusted,attribute,,Boolean,,,,,third_party/blink/renderer/core/dom/events/event.idl,
AbortPaymentEvent,respondWith,operation,(BooleanPromise),Void,,,,,third_party/blink/renderer/modules/payments/abort_payment_event.idl,
AbortSignal,,interface,,,,,,,third_party/blink/renderer/core/dom/abort_signal.idl,9
AbortSignal,abort,operation,(),AbortSignal,,V8AbortSignal_Abort_Method,,,third_party/blink/renderer/core/dom/abort_signal.idl,
AbortSignal,aborted,attribute,,Boolean,,,,,third_party/blink/renderer/core/dom/abort_signal.idl,
AbortSignal,onabort,attribute,,EventHandlerNonNullOrNull,,,,,third_party/blink/renderer/core/dom/abort_signal.idl,
AbsoluteOrientationSensor,,interface,,,,,True,,third_party/blink/renderer/modules/sensor/absolute_orientation_sensor.idl,10
AbstractRange,,interface,,,,,,,third_party/blink/renderer/core/dom/abstract_range.idl,9
AbstractRange,collapsed,attribute,,Boolean,,,,,third_party/blink/renderer/core/dom/abstract_range.idl,
AbstractRange,endContainer,attribute,,Node,,,,,third_party/blink/renderer/core/dom/abstract_range.idl,
AbstractRange,endOffset,attribute,,UnsignedLong,,,,,third_party/blink/renderer/core/dom/abstract_range.idl,
AbstractRange,startContainer,attribute,,Node,,,,,third_party/blink/renderer/core/dom/abstract_range.idl,
AbstractRange,startOffset,attribute,,UnsignedLong,,,,,third_party/blink/renderer/core/dom/abstract_range.idl,
Accelerometer,,interface,,,,,True,,third_party/blink/renderer/modules/sensor/accelerometer.idl,10
Accelerometer,x,attribute,,UnrestrictedDoubleOrNull,,,,,third_party/blink/renderer/modules/sensor/accelerometer.idl,
Accelerometer,y,attribute,,UnrestrictedDoubleOrNull,,,,,third_party/blink/renderer/modules/sensor/accelerometer.idl,
Accelerometer,z,attribute,,UnrestrictedDoubleOrNull,,,,,third_party/blink/renderer/modules/sensor/accelerometer.idl,
AccessibleNode,,interface,,,,,,,third_party/blink/renderer/core/aom/accessible_node.idl,11
